City,Source_File,Line_Number,Matched_Text,Lat,Long
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,128,Waste Management Records .............................................................. 10,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,130,Fuel Storage Tanks ............................................................................. 11,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,368,result in APECs at Phase One Property. One off-Site PCA was identified but this PCA is not considered,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,369,to result in an APEC at the Phase One Property given its distance from the Phase One Property and its,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,393,"property is, or may be subject to, actual or potential contamination. Under the Province of Ontario’s",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,400,determine if an area of potential environmental concern (APEC) exists and to interpret,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,401,any APEC; and,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,405,(PCA) exists and interpret whether any such PCA results in an APEC at the Phase One,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,518,identifying the presence of significant environmental contaminants of concern.,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,533,Each on-Site PCA is associated with an APEC at the Phase One Property. Each off-Site PCA was,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,534,characterized as to whether it resulted in an APEC at the Phase One Property. In making this,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,536,"operations and potential contaminants were considered. In general, PCAs that were relatively close to the",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,538,"inferred groundwater flow direction were considered PCAs resulting in APECs. Conversely, PCAs that",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,541,resulting in APECs. The type of operations and potential contaminants associated with the PCAs were,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,542,"also evaluated. Factors such as whether the PCA had a high probability of contamination (e.g., dry",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,544,contaminants in the subsurface were considered during the evaluation.,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,632,Applications). This on-Site PCA resulted in an APEC at the Phase One Property. It is unclear if GHD,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,635,"To assess this APEC, GHD advanced four (4) shallow boreholes across the Site using a hand auger. The",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,637,"for laboratory analysis of metals, organochlorine pesticides (OCP), pH and/or grain size.",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,640,and 6.10). The concentrations of metals and OCP in the submitted soil samples met the Table 1,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,660,that the PCA identified by GHD has been adequately assessed and that it no longer represents an APEC,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,677,"water, or land, and waste transfers for recycling for more than 300 listed substances and identifies",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,678,"information such as the approximate location, type and quantity of contaminant, date of release, and",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,683,The MECP’s Waste Management Branch maintains an inventory of PCB storage sites within Ontario.,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,685,registration of inactive PCB storage equipment and/or disposal sites of PCB waste with the MECP. This,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,696,"database contains information on waste quantities, major and minor sites storing liquid or solid waste,",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,697,and a waste storage inventory.,,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,702,"and private facilities in Canada, and of out-of-service PCB-containing equipment and PCB waste owned",,
City of Burlington,Phase-1-Environmental-Site-Assessment-05-24-2022.txt,709,"Private Sewage, Waste Management Systems and Renewable Energy Approvals. Prior to November 1,",,
